ParcelId,AddrNum,StPreDir,StName,StType,StSufDir,Address,WARD,NeighborhoodNumber,NeighborhoodName,LowAddrNum,LowAddrSuf,HighAddrNum,HighAddrSuf,Description,Usage,Class,LegalDescription,PropertyType,Side lot Eligible?,Stories,Irregular_Lot,Frontage,NbrOfUnits,SQFT
36219290000,3119,,LAMBDIN,AV,,3119   LAMBDIN AV ,12,56,Greater Ville,3119,,3119,,vacant lot w/ green lien,Vacant Lot,A,C.B.3621 LAMBDIN50 FT X 180.68 FTCLAYS CR TR ADDNLOT 11,Lot,,0,,,,9019
52469320000,2914,,ABNER,PL,,2914   ABNER PL ,12,50,Wells Goodfellow,2914,,2914,,,Vacant Lot,A,C.B. 5246 ABNER PLACE28 FT X 71 FTSIEVERS ADDNLOTS S-37 S-38,Lot,,0,,,,2012
52469310000,2910,,ABNER,PL,,2910   ABNER PL ,12,50,Wells Goodfellow,2910,,2910,,,Vacant Lot,A,C.B. 5246 ABNER PLACE28 FT X 71 FTSEEVERS ADDNLOTS N-35 N-36,Lot,Yes,0,,,,2001
52379200000,5648,,LABADIE,AV,,5648   LABADIE AV ,13,50,Wells Goodfellow,5648,,5650,,2 story 2 unit brick,Vacant Lot,,CB 5237 LABADIE42 FT / 39.9 FT X 119 FT / 117.89 FTMOTOR HTS ADDNBLOCK 2 LOTS 29 W-30,Lot,,,,,,4729
52569120000,2821,,BURD,AV,,2821   BURD AV ,13,50,Wells Goodfellow,2821,,2821,,,Vacant Lot,A,C. B. 5256 ST EDWARD49 FT 5 1/2 IN X 108 FTMT ST EDWARD ADDNBLOCK 2 LOT 27-28,Lot,,0,,,,5331
53449110000,6036,,HARNEY,AV,,6036   HARNEY AV ,13,76,Walnut Park West,6036,,6036,,,Vacant Lot,C,C. B. 5344 HARNEY25 FT X 125 FTW WALNUT PK ADDNBLOCK 3LOT 15,Lot,,0,,,,3123
53469020000,6068,,LUCILLE,AV,,6068   LUCILLE AV ,13,76,Walnut Park West,6068,,6068,,,Vacant Lot,C,C. B. 5346 LUCILLE AVE50 FT X 125 FTW WALNUT PK ADDNBLOCK 5 LOTS 2 3,Lot,,0,,,,6255
11829125000,1500,,HERDER,ST,,1500   HERDER ST ,14,65,Hyde Park,1500,,1500,,,Vacant Lot,A,C. B. 1182S HERDER25 FT X 82 FT 6 INFARRARS ADDNBLK 31 LOT 24,Lot,,0,,,,2064
42479230000,1261,,GIMBLIN,ST,,1261   GIMBLIN ST ,12,74,Baden,1261,,1261,,,Vacant Lot,A,C. B. 4247A GIMBLIN35 FT X 122 FT 09 IN / 123.98 FTGERLING ADDNLOT 109,Lot,,0,,,,4345
43809105000,4232,,AUBERT,AV,,4232   AUBERT AV ,12,69,Penrose,4232,,4232,,,Vacant Lot,A,C. B. 4380E AUBERT AVE28 FT X 115 FTPENROSE ADDNBLOCK 1LOT 17 & S-18,Lot,,0,,,,3220
38079295000,1384,,CLARA,AV,,1384   CLARA AV ,13,78,Hamilton Heights,1384,,1384,,,Vacant Lot,A,C. B. 3807 WA CLARA AVE33 FT 4 IN X 119 FT 6 1/2 INCROSSWHITE ADDNLOT S-34,Lot,Yes,0,,,,3984
